condition,label,signature_binaire,signature_symbolique,silences,graines_silencieuses
A,référent absent,10000000110100000000,SPPPPPPPSSPSPPPPPPPP,4,"404;412;413;415"
B,référent objet extérieur,01111111001010111111,PSSSSSSSPPSPSPSSSSSS,15,"405;406;407;408;409;410;411;414;416;418;419;420;421;422;423"
C,lettre R,00000000100100000000,PPPPPPPPSPPSPPPPPPPP,2,"412;415"
D,lettre K,00000000100100000000,PPPPPPPPSPPSPPPPPPPP,2,"412;415"
E,chiffre 0,11111111111011111111,SSSSSSSSSSSPSSSSSSSS,19,"404;405;406;407;408;409;410;411;412;413;414;416;417;418;419;420;421;422;423"
F,chiffre 7,10000000110101000000,SPPPPPPPSSPSPSPPPPPP,5,"404;412;413;415;417"
G,combinaison R0,01111101001010111111,PSSSSSPSPPSPSPSSSSSS,14,"405;406;407;408;409;411;414;416;418;419;420;421;422;423"
H,combinaison R7,01111101001010111111,PSSSSSPSPPSPSPSSSSSS,14,"405;406;407;408;409;411;414;416;418;419;420;421;422;423"
I,combinaison K0,01111111001011111111,PSSSSSSSPPSPSSSSSSSS,16,"405;406;407;408;409;410;411;414;416;417;418;419;420;421;422;423"
J,combinaison K7,11111111011011111111,SSSSSSSSPSSPSSSSSSSS,18,"404;405;406;407;408;409;410;411;413;414;416;417;418;419;420;421;422;423"
