condition,branch,seed,call_position,order,bifurcation_position,token_S,token_id_S,logprob_S,rank_S,token_P,token_id_P,logprob_P,rank_P,delta,bound_kind,bound_value,top_n,calculation_status,calculation_reason,prompt_sha256,output_sha256,phase
R0,A,424,1,A,8,sil,,-0.6829010248184204,1,parole,,-0.7116065621376038,2,0.02870553731918335,,,5,exact,,f02269aceb9b393fabda77107cfd7b23ea3eab8790b7187a3530683738b794cd,ba7df2bfe10b94308238ec727db16494d7e7f73303ac195a3487d125bfdcd55e,instrument_validation
R0,A,424,1,ABCD,8,sil,,-0.6829010248184204,1,parole,,-0.7116065621376038,2,0.02870553731918335,,,5,exact,,f02269aceb9b393fabda77107cfd7b23ea3eab8790b7187a3530683738b794cd,adc5c5fcf80a04d93f6e35e12ef110c1e31fb6d2725551839252100807150a21,instrument_validation
R7,B,424,2,ABCD,8,sil,,-0.6785305142402649,1,parole,,-0.7165859341621399,2,0.038055419921875,,,5,exact,,5af686053eb0f02cb39925ce520510c027468519e1442b009569fec358024cb2,becef618ab2d409614a2afffc52dea5e1068f7068e2beb3daf6d1bfd801eacb2,instrument_validation
K0,C,424,3,ABCD,8,sil,,-0.6199643015861511,1,parole,,-0.7807443141937256,2,0.16078001260757446,,,5,exact,,1166d7d05b3b96647f184270b8401bb0273efd6ad129eaf97b70892701130911,0b4c28da5f4c5fcab53226dcbd069c606c9f300a4d629603cdc6759a7e0b4bba,instrument_validation
K7,D,424,4,ABCD,8,sil,,-0.5934948325157166,1,parole,,-0.8133338689804077,2,0.21983903646469116,,,5,exact,,20b967debbe254a42af639a0133050acc59ad74e6dd7c4571dd637f076037d83,617d23f79908bdbcc06c528a3f8f965321996e1a8ae0daec449054684ad4d96e,instrument_validation
R0,A,424,1,ABCD,8,sil,,-0.6829010248184204,1,parole,,-0.7116065621376038,2,0.02870553731918335,,,10,exact,,f02269aceb9b393fabda77107cfd7b23ea3eab8790b7187a3530683738b794cd,f4233e2c1c1608c1573c068eb5f18b7b269ed09a1261654acbdb55203255dfa1,instrument_validation
R7,B,424,2,ABCD,8,sil,,-0.6785305142402649,1,parole,,-0.7165859341621399,2,0.038055419921875,,,10,exact,,5af686053eb0f02cb39925ce520510c027468519e1442b009569fec358024cb2,cbdc7bbbb6b9218d9d274a3bc972e9f1a2d9414e4535361ca2ac6190c7a96c2a,instrument_validation
K0,C,424,3,ABCD,8,sil,,-0.6199643015861511,1,parole,,-0.7807443141937256,2,0.16078001260757446,,,10,exact,,1166d7d05b3b96647f184270b8401bb0273efd6ad129eaf97b70892701130911,de95826860620d6fba12b5460d8d58f8fd04f3b8dc1b6cf8e3b2c5f51348ce47,instrument_validation
K7,D,424,4,ABCD,8,sil,,-0.5934948325157166,1,parole,,-0.8133338689804077,2,0.21983903646469116,,,10,exact,,20b967debbe254a42af639a0133050acc59ad74e6dd7c4571dd637f076037d83,74770c0a05e2e19f91433c692767d7118a9771d0107204d6e2515f7a2e3a36b4,instrument_validation
R0,A,424,1,ABCD,8,sil,,-0.6829010248184204,1,parole,,-0.7116065621376038,2,0.02870553731918335,,,20,exact,,f02269aceb9b393fabda77107cfd7b23ea3eab8790b7187a3530683738b794cd,e9fb982343d5625dcea77c3393a07fad80b6dc89c3b72545729f3239d9ae10d9,instrument_validation
R7,B,424,2,ABCD,8,sil,,-0.6785305142402649,1,parole,,-0.7165859341621399,2,0.038055419921875,,,20,exact,,5af686053eb0f02cb39925ce520510c027468519e1442b009569fec358024cb2,b48b3cea6adea74b44ee3bbc3788c69213de0b14bb0b7f8b6d0f596f30a07b29,instrument_validation
K0,C,424,3,ABCD,8,sil,,-0.6199643015861511,1,parole,,-0.7807443141937256,2,0.16078001260757446,,,20,exact,,1166d7d05b3b96647f184270b8401bb0273efd6ad129eaf97b70892701130911,f882c21982a35df935a28b90e9b993f1ff2459d8e32d49ca0654cafafcb6a076,instrument_validation
K7,D,424,4,ABCD,8,sil,,-0.5934948325157166,1,parole,,-0.8133338689804077,2,0.21983903646469116,,,20,exact,,20b967debbe254a42af639a0133050acc59ad74e6dd7c4571dd637f076037d83,037f3be2cbeff012ea4dc690c3b9a653cb28256fc885674bca83da42d31ac605,instrument_validation
R0,A,424,1,ABCD,,,,,,,,,,,,,50,noncomparable,missing_message_content,f02269aceb9b393fabda77107cfd7b23ea3eab8790b7187a3530683738b794cd,,instrument_validation
R7,B,424,2,ABCD,,,,,,,,,,,,,50,noncomparable,missing_message_content,5af686053eb0f02cb39925ce520510c027468519e1442b009569fec358024cb2,,instrument_validation
K0,C,424,3,ABCD,,,,,,,,,,,,,50,noncomparable,missing_message_content,1166d7d05b3b96647f184270b8401bb0273efd6ad129eaf97b70892701130911,,instrument_validation
K7,D,424,4,ABCD,,,,,,,,,,,,,50,noncomparable,missing_message_content,20b967debbe254a42af639a0133050acc59ad74e6dd7c4571dd637f076037d83,,instrument_validation
R0,A,424,1,ABCD,8,sil,,-0.6829010248184204,1,parole,,-0.7116065621376038,2,0.02870553731918335,,,5,exact,,f02269aceb9b393fabda77107cfd7b23ea3eab8790b7187a3530683738b794cd,e408f2d588597c35973c6b92de08b10447fcb2f33408eb7a0ecf69211f1598bd,cold_start
R7,B,424,2,ABCD,8,sil,,-0.6785305142402649,1,parole,,-0.7165859341621399,2,0.038055419921875,,,5,exact,,5af686053eb0f02cb39925ce520510c027468519e1442b009569fec358024cb2,8707a456643fd725eb6d12452468ac84c7aaba39f6eff2736e7147edb8fc6e9d,cold_start
K0,C,424,3,ABCD,8,sil,,-0.6199643015861511,1,parole,,-0.7807443141937256,2,0.16078001260757446,,,5,exact,,1166d7d05b3b96647f184270b8401bb0273efd6ad129eaf97b70892701130911,620b6eacf09fdf805e8d2b342eed552740760db1ad869129c54ecda8e8d6439a,cold_start
K7,D,424,4,ABCD,8,sil,,-0.5934948325157166,1,parole,,-0.8133338689804077,2,0.21983903646469116,,,5,exact,,20b967debbe254a42af639a0133050acc59ad74e6dd7c4571dd637f076037d83,c086eb1bf62c811cf4eacd9979a54e521bc4eb07800a014692dac99a4b45b043,cold_start
R0,A,424,1,ABCD,8,sil,,-0.6829010248184204,1,parole,,-0.7116065621376038,2,0.02870553731918335,,,5,exact,,f02269aceb9b393fabda77107cfd7b23ea3eab8790b7187a3530683738b794cd,60c551cf43a89d34e6b79842b96282507c196a5d1103b5b8afb0f3aed4a6ccf7,warmup
R7,B,424,2,ABCD,8,sil,,-0.6785305142402649,1,parole,,-0.7165859341621399,2,0.038055419921875,,,5,exact,,5af686053eb0f02cb39925ce520510c027468519e1442b009569fec358024cb2,59ab3efb481e8690f6763a73a1d2f7b07b8a999baeebaf45916631ec2110899f,warmup
K0,C,424,3,ABCD,8,sil,,-0.6199643015861511,1,parole,,-0.7807443141937256,2,0.16078001260757446,,,5,exact,,1166d7d05b3b96647f184270b8401bb0273efd6ad129eaf97b70892701130911,a903b6ccc653976b4c4ab8d46ac3342a277e475d934b76bba021a254556aa36d,warmup
K7,D,424,4,ABCD,8,sil,,-0.5934948325157166,1,parole,,-0.8133338689804077,2,0.21983903646469116,,,5,exact,,20b967debbe254a42af639a0133050acc59ad74e6dd7c4571dd637f076037d83,9fee9e63ac46c01e2d0e22bba33e3ce97bea8be4e3aa8daf47a3f026715eaa91,warmup
