coder,scene_id,pairs,clusters,rate_N,rate_P,difference_N_minus_P,ci95_lower,ci95_upper,discordant_N1_P0,discordant_N0_P1,concordant,discordance_contribution
A,CT1,64,64,0.984375,1.0,-0.015625,-0.046875,0.0,0,1,63,1.0
A,CT2,64,64,1.0,1.0,0.0,0.0,0.0,0,0,64,0.0
A,CT3,64,64,1.0,1.0,0.0,0.0,0.0,0,0,64,0.0
A,CT4,64,64,1.0,1.0,0.0,0.0,0.0,0,0,64,0.0
A,CT5,64,64,1.0,1.0,0.0,0.0,0.0,0,0,64,0.0
A,UT1,64,64,1.0,1.0,0.0,0.0,0.0,0,0,64,0.0
A,UT2,64,64,1.0,0.984375,0.015625,0.0,0.046875,1,0,63,0.0
A,UT3,64,64,1.0,1.0,0.0,0.0,0.0,0,0,64,0.0
A,UT4,64,64,1.0,1.0,0.0,0.0,0.0,0,0,64,0.0
A,UT5,64,64,1.0,1.0,0.0,0.0,0.0,0,0,64,0.0
B,CT1,64,64,0.96875,1.0,-0.03125,-0.078125,0.0,0,2,62,1.0
B,CT2,64,64,1.0,1.0,0.0,0.0,0.0,0,0,64,0.0
B,CT3,64,64,1.0,1.0,0.0,0.0,0.0,0,0,64,0.0
B,CT4,64,64,1.0,1.0,0.0,0.0,0.0,0,0,64,0.0
B,CT5,64,64,1.0,1.0,0.0,0.0,0.0,0,0,64,0.0
B,UT1,64,64,1.0,1.0,0.0,0.0,0.0,0,0,64,0.0
B,UT2,64,64,1.0,1.0,0.0,0.0,0.0,0,0,64,0.0
B,UT3,64,64,1.0,1.0,0.0,0.0,0.0,0,0,64,0.0
B,UT4,64,64,1.0,1.0,0.0,0.0,0.0,0,0,64,0.0
B,UT5,64,64,1.0,1.0,0.0,0.0,0.0,0,0,64,0.0
