"graine","motif","motif_autorise","violation_egalite_R0_R7","violation_inclusion_R_vers_K0","violation_inclusion_K0_vers_K7","violation_ordre"
"424","PPPP","True","False","False","False","False"
"425","SSSS","True","False","False","False","False"
"426","SSSS","True","False","False","False","False"
"427","PPSS","True","False","False","False","False"
"428","PPPS","True","False","False","False","False"
"429","SSSS","True","False","False","False","False"
"430","SSSS","True","False","False","False","False"
"431","PPSS","True","False","False","False","False"
"432","SSSS","True","False","False","False","False"
"433","SSSS","True","False","False","False","False"
"434","SSSS","True","False","False","False","False"
"435","SSSS","True","False","False","False","False"
"436","SSSS","True","False","False","False","False"
"437","SSSS","True","False","False","False","False"
"438","PPPP","True","False","False","False","False"
"439","PPSS","True","False","False","False","False"
"440","PPSS","True","False","False","False","False"
"441","PPSS","True","False","False","False","False"
"442","PPPP","True","False","False","False","False"
"443","PSSS","False","True","False","False","True"
"444","SSSS","True","False","False","False","False"
"445","SSSS","True","False","False","False","False"
"446","PPSS","True","False","False","False","False"
"447","PPPP","True","False","False","False","False"
"448","SSSS","True","False","False","False","False"
"449","SSSS","True","False","False","False","False"
"450","SSSS","True","False","False","False","False"
"451","SSSS","True","False","False","False","False"
"452","SSSS","True","False","False","False","False"
"453","PPSS","True","False","False","False","False"
"454","PPPP","True","False","False","False","False"
"455","SSSS","True","False","False","False","False"
"456","PPSS","True","False","False","False","False"
"457","PPSS","True","False","False","False","False"
"458","SSSS","True","False","False","False","False"
"459","SSSS","True","False","False","False","False"
"460","PPPP","True","False","False","False","False"
"461","SSSS","True","False","False","False","False"
"462","SSSS","True","False","False","False","False"
"463","SSSS","True","False","False","False","False"
